pad/equipment/coalescer_1/pressure_dp,103-105.21(17),103-107.21(11),85-59.79(6),85-25.220(3),85-27.79(2),85-114.32(2),9.0.51(1),85-49.79(1),85-113.32(1),218-10.26(1),103-99.21(1),103-187.21(1)
pad/equipment/coalescer_1/status_trip_lsh_downstream,101-35.3(29),101-50.3(5),101-82.3(2),9.0.54(1),101-86.3(1),101-54.3(1),101-46.3(1),101-218.3(1),101-196.3(1),101-170.3(1),101-167.3(1),101-166.3(1),101-150.3(1),101-134.3(1),101-114.3(1),101-106.3(1)
pad/equipment/coalescer_1/status_trip_lsh_upstream,101-33.3(28),101-48.3(5),101-80.3(3),9.0.52(1),101-84.3(1),101-44.3(1),101-31.3(1),101-216.3(1),101-194.3(1),101-168.3(1),101-164.3(1),101-161.3(1),101-118.3(1),101-112.3(1),101-104.3(1)
pad/equipment/coalescer_1/status_trip_lsl_downstream,101-36.3(29),101-51.3(4),101-83.3(2),9.0.55(1),101-87.3(1),101-55.3(1),101-47.3(1),101-219.3(1),101-198.3(1),101-197.3(1),101-171.3(1),101-154.3(1),101-135.3(1),101-115.3(1),101-107.3(1)
pad/equipment/coalescer_1/status_trip_lsl_upstream,101-34.3(28),101-49.3(4),101-81.3(3),9.0.53(1),101-85.3(1),101-45.3(1),101-217.3(1),101-195.3(1),101-169.3(1),101-166.3(1),101-146.3(1),101-119.3(1),101-113.3(1),101-105.3(1)
pad/equipment/coalescer_1/volume_accumulated,98-3.10(2),98-2.10(1)
pad/equipment/coalescer_1/volume_current_month,98-3.8(2),98-2.8(1)
pad/equipment/coalescer_1/volume_previous_month,98-3.9(2),98-2.9(1)
pad/equipment/coalescer_2/pressure_dp,103-107.21(9),85-24.220(1),218-10.27(1),103-105.21(1)
pad/equipment/coalescer_2/status_trip_lsh_downstream,101-114.3(7),101-35.3(2),101-50.3(1),101-162.3(1),101-110.3(1)
pad/equipment/coalescer_2/status_trip_lsh_upstream,101-112.3(7),101-33.3(2),101-48.3(1),101-160.3(1),101-108.3(1)
pad/equipment/coalescer_2/status_trip_lsl_downstream,101-115.3(7),101-36.3(2),101-51.3(1),101-163.3(1),101-111.3(1)
pad/equipment/coalescer_2/status_trip_lsl_upstream,101-113.3(7),101-34.3(2),101-49.3(1),101-161.3(1),101-109.3(1)
pad/equipment/coalescer_2/volume_accumulated,98-3.10(1)
pad/equipment/coalescer_2/volume_current_month,98-3.8(1)
pad/equipment/coalescer_2/volume_previous_month,98-3.9(1)
pad/equipment/combustor_1/pressure,85-114.32(8),98-9.20(2),98-9.8(1),98-30.11(1),85-57.173(1)
pad/equipment/combustor_1/status,101-116.3(23),BSL_0700(13),101-142.3(12),98-9.23(11),68-138.3(10),101-149.3(9),101-33.3(6),101-31.3(6),101-126.3(6),68-140.17(4),101-30.3(3),68-84.3(2),17-1.2(2),101-49.3(2),101-150.3(2),101-117.3(2),9.0.101(1),101-86.15(1),101-75.3(1),101-53.3(1),101-163.3(1),101-148.3(1),101-147.3(1),101-118.3(1),101-111.3(1)
pad/equipment/combustor_1/status_bms,101-142.3(2)
pad/equipment/combustor_1/status_bms_permissive,102-219.24(1)
pad/equipment/combustor_1/status_comm,98-9.23(9),68-40.17(9),68-140.17(2)
pad/equipment/combustor_1/status_level_high,101-148.3(1)
pad/equipment/combustor_1/status_level_low,101-160.3(3),101-113.3(2),101-85.3(1),101-118.3(1)
pad/equipment/combustor_1/status_lsl,101-118.3(1)
pad/equipment/combustor_1/temperature,98-9.27(72),PROFIRE.PROCESSTEMPERATURE(6),98-5.1(6),98-9.24(4),COMBUSTER_PROFIRE.PROCESSTEMPERATURE(3),98-30.3(3),98-30.1(3),98-9.26(1),98-8.24(1),98-5.24(1),98-5.2(1),98-29.1(1),98-19.26(1),98-18.27(1),98-16.27(1),98-15.27(1),98-11.24(1),9.0.103(1),17-2.3(1),17-0.12(1)
pad/equipment/combustor_1/temperature_current,98-5.1(3),98-30.3(3),98-30.1(2),98-9.27(1),98-5.25(1)
pad/equipment/combustor_2/status,101-115.3(5),101-127.3(3),101-118.3(3)
pad/equipment/combustor_2/temperature,98-9.32(4),98-9.26(3),98-10.27(2),98-7.27(1)
pad/equipment/combustor_2/temperature_current,98-9.32(1)
pad/equipment/combustor_3/status,101-119.3(1)
pad/equipment/combustor_3/temperature,98-9.28(1)
pad/equipment/compressor_1/bpv_output,104-88.12(1)
pad/equipment/compressor_1/down_status_lsh,101-156.3(1)
pad/equipment/compressor_1/fire_loop,101-162.3(7),101-119.3(4),1-13.2(4),101-114.3(3),101-87.3(2),101-37.3(2),101-36.3(2),101-31.3(2),1-60.2(2),1-37.2(2),101-84.3(1),101-82.3(1),101-63.3(1),101-35.3(1),101-165.3(1),101-161.3(1),101-138.3(1),101-132.3(1),101-118.3(1),101-117.3(1),101-116.3(1),101-115.3(1),101-106.3(1),1-36.2(1),1-34.2(1),1-33.2(1)
pad/equipment/compressor_1/hours_on_total,98-29.54(3),98-28.54(3),98-27.54(1)
pad/equipment/compressor_1/lel_status,101-161.3(5),101-52.3(3),101-113.3(3),101-118.3(2),ASH_COMP_LEL(1),101-81.3(1),101-55.3(1),101-35.3(1),101-34.3(1),101-164.3(1),101-160.3(1),101-129.3(1),101-114.3(1),1-34.2(1)
pad/equipment/compressor_1/pid_loop/setpoint_integral_reset,110-3.16(3)
pad/equipment/compressor_1/pid_loop/setpoint_loop_period,110-3.2(3)
pad/equipment/compressor_1/pid_loop/setpoint_primary_value,110-3.11(3)
pad/equipment/compressor_1/pid_loop/setpoint_proportional_gain,110-3.15(3)
pad/equipment/compressor_1/pressure_discharge,98-29.2(17),85-59.79(11),98-27.2(9),98-28.2(8),85-114.79(6),3-9.14(6),85-57.79(5),85-56.79(5),103-107.21(5),PT_COMP1_DISCHARGE(3),98-25.2(3),85-58.126(3),85-113.79(3),3-57.14(3),98-14.2(2),85-115.79(2),98-8.2(1),98-4.24(1),98-28.24(1),98-26.2(1),98-23.2(1),98-19.3(1),98-17.2(1),85-99.79(1),85-59.126(1),85-58.220(1),85-57.126(1),85-56.126(1),85-25.173(1),85-24.220(1),85-107.220(1),68-49.3(1),68-27.3(1),3-39.14(1),3-38.14(1),3-33.14(1),208.48.1(1),17-2.4(1),103-97.21(1),103-185.21(1)
pad/equipment/compressor_1/pressure_discharge_2,98-28.2(1)
pad/equipment/compressor_1/pressure_dp,85-59.79(1),103-81.21(1),103-185.21(1)
pad/equipment/compressor_1/pressure_intake,98-29.1(16),85-59.32(11),98-27.1(9),98-28.1(8),85-58.79(8),85-114.32(6),3-8.14(6),85-57.32(5),85-56.32(5),85-25.32(4),PT_COMP1_SUCTION(3),98-25.1(3),85-113.32(3),3-56.14(3),103-81.21(3),103-105.21(3),98-14.1(2),85-59.79(2),85-115.32(2),103-106.21(2),98-8.1(1),98-4.23(1),98-28.23(1),98-26.23(1),98-26.1(1),98-23.1(1),98-19.2(1),98-17.1(1),85-99.32(1),85-88.173(1),85-58.32(1),85-58.126(1),85-57.79(1),85-56.79(1),85-26.173(1),85-24.173(1),85-107.173(1),68-47.3(1),68-26.3(1),3-38.14(1),3-37.14(1),3-32.14(1),208.48.0(1),17-2.3(1),103-96.21(1),103-184.21(1)
pad/equipment/compressor_1/pressure_intake_2,98-28.1(1)
pad/equipment/compressor_1/pressure_static,98-26.24(1)
pad/equipment/compressor_1/run_hours,98-27.54(1)
pad/equipment/compressor_1/run_permissive,102-68.24(1)
pad/equipment/compressor_1/setpoint_pressure_intake,110-3.11(3)
pad/equipment/compressor_1/slop_tnk_bbls,17-9.3(1),17-9.12(1)
pad/equipment/compressor_1/slop_tnk_lvl,17-9.2(1),17-9.11(1)
pad/equipment/compressor_1/speed_engine,98-29.3(19),98-29.23(11),98-27.3(10),98-28.3(9),98-9.23(6),98-27.23(6),98-29.25(5),98-28.23(5),98-28.25(4),98-29.1(3),98-25.3(3),98-19.3(2),COMP_ENGINE_SPEED(1),98-8.3(1),98-6.3(1),98-5.23(1),98-4.25(1),98-28.27(1),98-28.1(1),98-26.3(1),98-26.23(1),98-23.3(1),98-19.4(1),98-18.3(1),98-17.3(1),98-16.23(1),98-14.3(1),98-14.25(1),98-0.25(1),17-2.2(1)
pad/equipment/compressor_1/status,218-15.26(67),1-36.2(5),218-11.26(4),101-51.3(4),XS_COMP1_STATUS(3),101-136.3(3),101-120.3(3),101-112.3(3),68-69.3(2),218-7.26(2),101-76.3(2),101-56.3(2),101-130.3(2),101-128.3(2),1-58.2(2),1-33.2(2),1-32.2(2),98-29.52(1),98-25.52(1),68-32.3(1),68-23.3(1),208.48.4(1),101-88.3(1),101-85.3(1),101-54.3(1),101-48.3(1),101-33.3(1),101-164.3(1),101-163.3(1),101-161.3(1),101-157.3(1),101-149.3(1),101-137.3(1),101-119.3(1),1-34.2(1),1-13.2(1)
pad/equipment/compressor_1/status_level_high,101-80.3(10),101-166.3(6),101-82.3(5),101-163.3(4),101-165.3(2),101-146.3(2),101-85.3(1),101-83.3(1),101-81.3(1),101-72.3(1),101-70.3(1),101-68.3(1),101-35.3(1),101-26.3(1),101-25.3(1),101-167.3(1),101-164.3(1),101-157.3(1),101-156.3(1),101-154.3(1),101-127.3(1),101-104.3(1)
pad/equipment/compressor_1/status_level_high_dwn,1-38.2(6),101-166.3(4),101-163.3(4),101-164.3(3),101-84.3(2),101-36.3(2),101-117.3(2),101-114.3(2),1-61.2(2),LSH_CLSR(1),101-85.3(1),101-81.3(1),101-78.3(1),101-44.3(1),101-37.3(1),101-35.3(1),101-174.3(1),101-167.3(1),101-162.3(1),101-161.3(1),101-135.3(1),101-116.3(1),101-113.3(1),101-112.3(1),101-107.3(1),1-8.2(1),1-58.2(1),1-36.2(1),1-35.2(1)
pad/equipment/compressor_1/status_level_high_up,1-39.2(6),101-164.3(5),101-115.3(4),101-163.3(3),101-80.3(2),101-35.3(2),1-62.2(2),LSL_CLSR(1),101-86.3(1),101-85.3(1),101-83.3(1),101-79.3(1),101-37.3(1),101-36.3(1),101-167.3(1),101-166.3(1),101-165.3(1),101-160.3(1),101-157.3(1),101-134.3(1),101-128.3(1),101-118.3(1),101-117.3(1),101-113.3(1),101-112.3(1),101-108.3(1),1-9.2(1),1-59.2(1),1-37.2(1),1-36.2(1)
pad/equipment/compressor_1/status_level_low,101-167.3(3),101-71.3(1),101-164.3(1),101-148.3(1)
pad/equipment/compressor_1/status_level_low_dwn,101-83.3(1),101-45.3(1),101-167.3(1),101-140.3(1),101-118.3(1)
pad/equipment/compressor_1/status_level_low_up,101-82.3(1),101-81.3(1),101-165.3(1),101-132.3(1),101-116.3(1)
pad/equipment/compressor_1/status_lsh,101-166.3(1),101-165.3(1)
pad/equipment/compressor_1/up_status_lsh,101-157.3(1)
pad/equipment/compressor_2/bpv_output,110-8.37(1),110-6.37(1),110-4.37(1),110-3.37(1),110-0.37(1)
pad/equipment/compressor_2/bpv_setpoint,110-8.11(1),110-6.11(1),110-4.11(1),110-3.11(1),110-0.11(1)
pad/equipment/compressor_2/fire_loop,101-206.3(1),101-142.3(1)
pad/equipment/compressor_2/lel_status,101-101.3(2),101-61.3(1),101-59.3(1),101-204.3(1),101-193.3(1),101-169.3(1),101-155.3(1),101-137.3(1)
pad/equipment/compressor_2/pressure_discharge,85-57.79(2),98-3.23(1),98-29.26(1),98-29.24(1),98-28.2(1),85-59.79(1),85-56.173(1),85-51.79(1),85-24.32(1),103-35.21(1)
pad/equipment/compressor_2/pressure_intake,85-25.79(7),85-58.126(5),85-57.32(2),85-25.173(2),98-28.1(1),85-89.173(1),85-59.32(1),85-58.79(1),85-56.126(1),85-51.32(1),85-41.79(1),85-26.32(1),85-24.79(1),103-82.21(1)
pad/equipment/compressor_2/pressure_static,85-41.32(1)
pad/equipment/compressor_2/run_permissive,102-74.24(1)
