Site,Good,Bad,State,Bad Tags
cermak/wells/well_2;CERMAK_NE_SMF_JF_5H,30,15,Needs work,
Pad Total (cermak):149
cesario/pad;CESARIO_MTP_JF,44,1,Close,
cesario/wells/well_1;CESARIO_NE_MTP_JF_5H,31,6,Needs work,
cesario/wells/well_2;CESARIO_N_MTP_JF_3H,28,9,Needs work,
cesario/wells/well_3;CESARIO_NW_MTP_JF_1H,28,9,Needs work,
Pad Total (cesario):171
club/pad;CLUB_SMF_JF,38,8,Needs work,
club/wells/well_1;CLUB_NW_SMF_JF_1H,34,3,Close,
club/wells/well_2;CLUB_NW_SMF_JF_3H,24,14,Needs work,
club/wells/well_3;CLUB_NE_SMF_JF_5H,23,14,Needs work,
club/wells/well_4;CLUB_NE_SMF_JF_7H,12,24,Needs work,
club/wells/well_5;CLUB_SE_SMF_JF_8H,14,24,Needs work,
Pad Total (club):263
coad/pad;COAD_OXF_GR,58,23,Needs work,
coad/wells/well_1;COAD_OXF_GR_2H,43,8,Needs work,
coad/wells/well_2;COAD_OXF_GR_4H,38,12,Needs work,
coad/wells/well_3;COAD_OXF_GR_6H,38,12,Needs work,
coad/wells/well_4;COAD_OXF_GR_8H,38,12,Needs work,
Pad Total (coad):302
coffield/pad;COFFIELD_RCH_BL,50,5,Needs work,
coffield/wells/well_1;COFFIELD_W_RCH_BL_2H,26,1,Close,
coffield/wells/well_2;COFFIELD_S_RCH_BL_4H-A,23,4,Close,
coffield/wells/well_3;COFFIELD_E_RCH_BL_6H,23,4,Close,
coffield/wells/well_4;COFFIELD_SE_RCH_BL_8H,24,3,Close,
Pad Total (coffield):187
colaianni/pad;COLAIANNI_MTP_JF,41,4,Close,
colaianni/wells/well_1;COLAIANNI_SW_MTP_JF_2H,35,2,Close,
colaianni/wells/well_2;COLAIANNI_SW_MTP_JF_4H,24,13,Needs work,
colaianni/wells/well_3;COLAIANNI_SE_MTP_JF_6H,20,17,Needs work,
Pad Total (colaianni):174
coleman/pad;COLEMAN_RCH_BL,58,8,Needs work,
coleman/wells/well_1;COLEMAN_RCH_BL_1H,32,10,Needs work,
coleman/wells/well_2;ROSS_SE_RCH_BL_11H,30,11,Needs work,
Pad Total (coleman):159
collectors/pad;COLLECTORS_NTG_HR,49,15,Needs work,
collectors/wells/well_1;COLLECTORS_S_NTG_HR_4H,32,7,Needs work,
collectors/wells/well_2;COLLECTORS_S_NTG_HR_2H,23,15,Needs work,
collectors/wells/well_3;CORDER_E_NTG_HR_8H,23,14,Needs work,
collectors/wells/well_4;COLLECTORS_S_NTG_HR_6H,24,14,Needs work,
collectors/wells/well_5;COLLECTORS_S_NTG_HR_8H-A,24,15,Needs work,
Pad Total (collectors):279
collins/pad;COLLINS_WYN_JF,45,7,Needs work,
collins/wells/well_1;COLLINS_WYN_JF_2H,33,4,Close,
collins/wells/well_2;COLLINS_WYN_JF_4H,28,9,Needs work,
collins/wells/well_3;COLLINS_WYN_JF_6H,28,9,Needs work,
Pad Total (collins):181
connie_jo/pad;CONNIE_JO_CLR_BL,52,0,Perfect!,
connie_jo/wells/well_1;CONNIE_JO_W_CLR_BL_1H,33,2,Close,
connie_jo/wells/well_2;CONNIE_JO_E_CLR_BL_3H,25,10,Needs work,
connie_jo/wells/well_3;CONNIE_JO_N_CLR_BL_5H,28,7,Needs work,
Pad Total (connie_jo):175
conotton/pad;RH_CONOTTON_MRF_HR,52,12,Needs work,
conotton/wells/well_1;RH_CONOTTON_E_MRF_HR_10H,33,5,Needs work,
